"occurrence_no","record_type","collection_no","taxon_name","taxon_rank","taxon_no","matched_name","matched_rank","matched_no","early_interval","early_age","late_age","reference_no","genus_name","genus_reso","species_name","species_reso","genus","genus_no","class","class_no","phylum","phylum_no","lng","lat","cc","state","geogscale","paleolng","paleolat","geoplate","early_age.1","late_age.1","cx_int_no","early_int_no","late_int_no","formation","member","formation.1","member.1","stratscale","stratcomments","family","family_no","reid_no","order","order_no","late_interval","subgenus_name"
"835190","occurrence","92733","Leptopterus viridis","species","372731","Artamella viridis","species","372730","Holocene","0.0117",NA,"31261;31261","Leptopterus",NA,"viridis",NA,"Artamella","372729","Aves","36616","Chordata","33815","46.633057","-25.198610","MG","Toliara","outcrop",46.63,-25.2,"702",0.0117,NA,"3002","32","32",NA,NA,NA,NA,"group of beds","sediments are from ""a large collapsed-cave feature in Pleistocene eolianite (calcareous sandstone)"" (Godfrey et al. 2006), and the lower unit yielding extinct vertebrates is stratigraphically mixed and ""mid-to-late Holocene"" (Burney et al. 2008)","Vangidae","158469",NA,"Passeriformes","39441",NA,NA
"835191","occurrence","92733","Cyanolanius madagascarinus","species","372733","Cyanolanius madagascarinus","species","372733","Holocene","0.0117",NA,"31261;31261","Cyanolanius",NA,"madagascarinus",NA,"Cyanolanius","158471","Aves","36616","Chordata","33815","46.633057","-25.198610","MG","Toliara","outcrop",46.63,-25.2,"702",0.0117,NA,"3002","32","32",NA,NA,NA,NA,"group of beds","sediments are from ""a large collapsed-cave feature in Pleistocene eolianite (calcareous sandstone)"" (Godfrey et al. 2006), and the lower unit yielding extinct vertebrates is stratigraphically mixed and ""mid-to-late Holocene"" (Burney et al. 2008)","Vangidae","158469",NA,"Passeriformes","39441",NA,NA
"835192","occurrence","92733","Corvus albus","species","369302","Corvus albus","species","369302","Holocene","0.0117",NA,"31261;31261","Corvus",NA,"albus",NA,"Corvus","39446","Aves","36616","Chordata","33815","46.633057","-25.198610","MG","Toliara","outcrop",46.63,-25.2,"702",0.0117,NA,"3002","32","32",NA,NA,NA,NA,"group of beds","sediments are from ""a large collapsed-cave feature in Pleistocene eolianite (calcareous sandstone)"" (Godfrey et al. 2006), and the lower unit yielding extinct vertebrates is stratigraphically mixed and ""mid-to-late Holocene"" (Burney et al. 2008)","Corvidae","39445",NA,"Passeriformes","39441",NA,NA
"835193","occurrence","92733","Ploceus sakalava","species","372723","Ploceus sakalava","species","372723","Holocene","0.0117",NA,"31261;31261","Ploceus",NA,"sakalava",NA,"Ploceus","158472","Aves","36616","Chordata","33815","46.633057","-25.198610","MG","Toliara","outcrop",46.63,-25.2,"702",0.0117,NA,"3002","32","32",NA,NA,NA,NA,"group of beds","sediments are from ""a large collapsed-cave feature in Pleistocene eolianite (calcareous sandstone)"" (Godfrey et al. 2006), and the lower unit yielding extinct vertebrates is stratigraphically mixed and ""mid-to-late Holocene"" (Burney et al. 2008)","Ploceidae","158473",NA,"Passeriformes","39441",NA,NA
"835194","occurrence","92733","Foudia madagascariensis","species","372725","Foudia madagascariensis","species","372725","Holocene","0.0117",NA,"31261;31261","Foudia",NA,"madagascariensis",NA,"Foudia","158474","Aves","36616","Chordata","33815","46.633057","-25.198610","MG","Toliara","outcrop",46.63,-25.2,"702",0.0117,NA,"3002","32","32",NA,NA,NA,NA,"group of beds","sediments are from ""a large collapsed-cave feature in Pleistocene eolianite (calcareous sandstone)"" (Godfrey et al. 2006), and the lower unit yielding extinct vertebrates is stratigraphically mixed and ""mid-to-late Holocene"" (Burney et al. 2008)","Ploceidae","158473",NA,"Passeriformes","39441",NA,NA
"835195","occurrence","92733","Geogale aurita","species","432168","Geogale aurita","species","432168","Holocene","0.0117",NA,"31261;31261","Geogale",NA,"aurita",NA,"Geogale","158495","Mammalia","36651","Chordata","33815","46.633057","-25.198610","MG","Toliara","outcrop",46.63,-25.2,"702",0.0117,NA,"3002","32","32",NA,NA,NA,NA,"group of beds","sediments are from ""a large collapsed-cave feature in Pleistocene eolianite (calcareous sandstone)"" (Godfrey et al. 2006), and the lower unit yielding extinct vertebrates is stratigraphically mixed and ""mid-to-late Holocene"" (Burney et al. 2008)","Tenrecidae","40531",NA,NA,NA,NA,NA
"835196","occurrence","92733","Microgale brevicaudata","species","158496","Microgale","genus","158496","Holocene","0.0117",NA,"31261;31261","Microgale",NA,"brevicaudata",NA,"Microgale","158496","Mammalia","36651","Chordata","33815","46.633057","-25.198610","MG","Toliara","outcrop",46.63,-25.2,"702",0.0117,NA,"3002","32","32",NA,NA,NA,NA,"group of beds","sediments are from ""a large collapsed-cave feature in Pleistocene eolianite (calcareous sandstone)"" (Godfrey et al. 2006), and the lower unit yielding extinct vertebrates is stratigraphically mixed and ""mid-to-late Holocene"" (Burney et al. 2008)","Tenrecidae","40531",NA,NA,NA,NA,NA
"835197","occurrence","92733","Microgale longicaudata","species","158496","Microgale","genus","158496","Holocene","0.0117",NA,"31261;31261","Microgale",NA,"longicaudata",NA,"Microgale","158496","Mammalia","36651","Chordata","33815","46.633057","-25.198610","MG","Toliara","outcrop",46.63,-25.2,"702",0.0117,NA,"3002","32","32",NA,NA,NA,NA,"group of beds","sediments are from ""a large collapsed-cave feature in Pleistocene eolianite (calcareous sandstone)"" (Godfrey et al. 2006), and the lower unit yielding extinct vertebrates is stratigraphically mixed and ""mid-to-late Holocene"" (Burney et al. 2008)","Tenrecidae","40531",NA,NA,NA,NA,NA
"835198","occurrence","92733","Microgale nasoloi","species","158496","Microgale","genus","158496","Holocene","0.0117",NA,"31261;31261","Microgale",NA,"nasoloi",NA,"Microgale","158496","Mammalia","36651","Chordata","33815","46.633057","-25.198610","MG","Toliara","outcrop",46.63,-25.2,"702",0.0117,NA,"3002","32","32",NA,NA,NA,NA,"group of beds","sediments are from ""a large collapsed-cave feature in Pleistocene eolianite (calcareous sandstone)"" (Godfrey et al. 2006), and the lower unit yielding extinct vertebrates is stratigraphically mixed and ""mid-to-late Holocene"" (Burney et al. 2008)","Tenrecidae","40531",NA,NA,NA,NA,NA
"835199","occurrence","92733","Microgale pusilla","species","158496","Microgale","genus","158496","Holocene","0.0117",NA,"31261;31261","Microgale",NA,"pusilla",NA,"Microgale","158496","Mammalia","36651","Chordata","33815","46.633057","-25.198610","MG","Toliara","outcrop",46.63,-25.2,"702",0.0117,NA,"3002","32","32",NA,NA,NA,NA,"group of beds","sediments are from ""a large collapsed-cave feature in Pleistocene eolianite (calcareous sandstone)"" (Godfrey et al. 2006), and the lower unit yielding extinct vertebrates is stratigraphically mixed and ""mid-to-late Holocene"" (Burney et al. 2008)","Tenrecidae","40531",NA,NA,NA,NA,NA
"835200","occurrence","92733","Microgale macpheei","species","158496","Microgale","genus","158496","Holocene","0.0117",NA,"31261;31261","Microgale",NA,"macpheei",NA,"Microgale","158496","Mammalia","36651","Chordata","33815","46.633057","-25.198610","MG","Toliara","outcrop",46.63,-25.2,"702",0.0117,NA,"3002","32","32",NA,NA,NA,NA,"group of beds","sediments are from ""a large collapsed-cave feature in Pleistocene eolianite (calcareous sandstone)"" (Godfrey et al. 2006), and the lower unit yielding extinct vertebrates is stratigraphically mixed and ""mid-to-late Holocene"" (Burney et al. 2008)","Tenrecidae","40531",NA,NA,NA,NA,NA
"835201","occurrence","92733","Echinops telfairi","species","231470","Echinops telfairi","species","231470","Holocene","0.0117",NA,"31261;31261","Echinops",NA,"telfairi",NA,"Echinops","158497","Mammalia","36651","Chordata","33815","46.633057","-25.198610","MG","Toliara","outcrop",46.63,-25.2,"702",0.0117,NA,"3002","32","32",NA,NA,NA,NA,"group of beds","sediments are from ""a large collapsed-cave feature in Pleistocene eolianite (calcareous sandstone)"" (Godfrey et al. 2006), and the lower unit yielding extinct vertebrates is stratigraphically mixed and ""mid-to-late Holocene"" (Burney et al. 2008)","Tenrecidae","40531",NA,NA,NA,NA,NA
"835202","occurrence","92733","Setifer setosus","species","231471","Setifer setosus","species","231471","Holocene","0.0117",NA,"31261;31261","Setifer",NA,"setosus",NA,"Setifer","158498","Mammalia","36651","Chordata","33815","46.633057","-25.198610","MG","Toliara","outcrop",46.63,-25.2,"702",0.0117,NA,"3002","32","32",NA,NA,NA,NA,"group of beds","sediments are from ""a large collapsed-cave feature in Pleistocene eolianite (calcareous sandstone)"" (Godfrey et al. 2006), and the lower unit yielding extinct vertebrates is stratigraphically mixed and ""mid-to-late Holocene"" (Burney et al. 2008)","Tenrecidae","40531",NA,NA,NA,NA,NA
"835203","occurrence","92733","Tenrec ecaudatus","species","231473","Tenrec ecaudatus","species","231473","Holocene","0.0117",NA,"31261;31261","Tenrec",NA,"ecaudatus",NA,"Tenrec","158499","Mammalia","36651","Chordata","33815","46.633057","-25.198610","MG","Toliara","outcrop",46.63,-25.2,"702",0.0117,NA,"3002","32","32",NA,NA,NA,NA,"group of beds","sediments are from ""a large collapsed-cave feature in Pleistocene eolianite (calcareous sandstone)"" (Godfrey et al. 2006), and the lower unit yielding extinct vertebrates is stratigraphically mixed and ""mid-to-late Holocene"" (Burney et al. 2008)","Tenrecidae","40531",NA,NA,NA,NA,NA
"835204","occurrence","92733","Suncus madagascariensis","species","40490","Suncus","genus","40490","Holocene","0.0117",NA,"31261;31261","Suncus",NA,"madagascariensis",NA,"Suncus","40490","Mammalia","36651","Chordata","33815","46.633057","-25.198610","MG","Toliara","outcrop",46.63,-25.2,"702",0.0117,NA,"3002","32","32",NA,NA,NA,NA,"group of beds","sediments are from ""a large collapsed-cave feature in Pleistocene eolianite (calcareous sandstone)"" (Godfrey et al. 2006), and the lower unit yielding extinct vertebrates is stratigraphically mixed and ""mid-to-late Holocene"" (Burney et al. 2008)","Soricidae","40443",NA,NA,NA,NA,NA
"835205","occurrence","92733","Eidolon dupreanum","species","158500","Eidolon","genus","158500","Holocene","0.0117",NA,"31261;31261","Eidolon",NA,"dupreanum",NA,"Eidolon","158500","Mammalia","36651","Chordata","33815","46.633057","-25.198610","MG","Toliara","outcrop",46.63,-25.2,"702",0.0117,NA,"3002","32","32",NA,NA,NA,NA,"group of beds","sediments are from ""a large collapsed-cave feature in Pleistocene eolianite (calcareous sandstone)"" (Godfrey et al. 2006), and the lower unit yielding extinct vertebrates is stratigraphically mixed and ""mid-to-late Holocene"" (Burney et al. 2008)","Pteropodidae","40624",NA,"Chiroptera","40622",NA,NA
"835206","occurrence","92733","Rousettus madagascariensis","species","158501","Rousettus","genus","158501","Holocene","0.0117",NA,"31261;31261","Rousettus",NA,"madagascariensis",NA,"Rousettus","158501","Mammalia","36651","Chordata","33815","46.633057","-25.198610","MG","Toliara","outcrop",46.63,-25.2,"702",0.0117,NA,"3002","32","32",NA,NA,NA,NA,"group of beds","sediments are from ""a large collapsed-cave feature in Pleistocene eolianite (calcareous sandstone)"" (Godfrey et al. 2006), and the lower unit yielding extinct vertebrates is stratigraphically mixed and ""mid-to-late Holocene"" (Burney et al. 2008)","Pteropodidae","40624",NA,"Chiroptera","40622",NA,NA
"835207","occurrence","92733","Hipposideros commersoni","species","40649","Hipposideros","genus","40649","Holocene","0.0117",NA,"31261;31261","Hipposideros",NA,"commersoni",NA,"Hipposideros","40649","Mammalia","36651","Chordata","33815","46.633057","-25.198610","MG","Toliara","outcrop",46.63,-25.2,"702",0.0117,NA,"3002","32","32",NA,NA,NA,NA,"group of beds","sediments are from ""a large collapsed-cave feature in Pleistocene eolianite (calcareous sandstone)"" (Godfrey et al. 2006), and the lower unit yielding extinct vertebrates is stratigraphically mixed and ""mid-to-late Holocene"" (Burney et al. 2008)","Hipposideridae","40647",NA,"Chiroptera","40622",NA,NA
"835208","occurrence","92733","Triaenops furculus","species","67840","Triaenops","genus","67840","Holocene","0.0117",NA,"31261;31261","Triaenops",NA,"furculus",NA,"Triaenops","67840","Mammalia","36651","Chordata","33815","46.633057","-25.198610","MG","Toliara","outcrop",46.63,-25.2,"702",0.0117,NA,"3002","32","32",NA,NA,NA,NA,"group of beds","sediments are from ""a large collapsed-cave feature in Pleistocene eolianite (calcareous sandstone)"" (Godfrey et al. 2006), and the lower unit yielding extinct vertebrates is stratigraphically mixed and ""mid-to-late Holocene"" (Burney et al. 2008)","Hipposideridae","40647",NA,"Chiroptera","40622",NA,NA
"835209","occurrence","92733","Miniopterus gleni","species","40676","Miniopterus","genus","40676","Holocene","0.0117",NA,"31261;31261","Miniopterus",NA,"gleni",NA,"Miniopterus","40676","Mammalia","36651","Chordata","33815","46.633057","-25.198610","MG","Toliara","outcrop",46.63,-25.2,"702",0.0117,NA,"3002","32","32",NA,NA,NA,NA,"group of beds","sediments are from ""a large collapsed-cave feature in Pleistocene eolianite (calcareous sandstone)"" (Godfrey et al. 2006), and the lower unit yielding extinct vertebrates is stratigraphically mixed and ""mid-to-late Holocene"" (Burney et al. 2008)","Vespertilionidae","40663",NA,"Chiroptera","40622",NA,NA
"835210","occurrence","92733","Mormopterus jugularis","species","92096","Mormopterus","genus","92096","Holocene","0.0117",NA,"31261;31261","Mormopterus",NA,"jugularis",NA,"Mormopterus","92096","Mammalia","36651","Chordata","33815","46.633057","-25.198610","MG","Toliara","outcrop",46.63,-25.2,"702",0.0117,NA,"3002","32","32",NA,NA,NA,NA,"group of beds","sediments are from ""a large collapsed-cave feature in Pleistocene eolianite (calcareous sandstone)"" (Godfrey et al. 2006), and the lower unit yielding extinct vertebrates is stratigraphically mixed and ""mid-to-late Holocene"" (Burney et al. 2008)","Molossidae","40693",NA,"Chiroptera","40622",NA,NA
"835211","occurrence","92733","Mops leucostigma","species","139826","Mops","genus","139826","Holocene","0.0117",NA,"31261;31261","Mops",NA,"leucostigma",NA,"Mops","92129","Mammalia","36651","Chordata","33815","46.633057","-25.198610","MG","Toliara","outcrop",46.63,-25.2,"702",0.0117,NA,"3002","32","32",NA,NA,NA,NA,"group of beds","sediments are from ""a large collapsed-cave feature in Pleistocene eolianite (calcareous sandstone)"" (Godfrey et al. 2006), and the lower unit yielding extinct vertebrates is stratigraphically mixed and ""mid-to-late Holocene"" (Burney et al. 2008)","Molossidae","40693",NA,"Chiroptera","40622",NA,NA
"835212","occurrence","92733","Microcebus sp.","genus","143024","Microcebus","genus","143024","Holocene","0.0117",NA,"31261;31261","Microcebus",NA,"sp.",NA,"Microcebus","143024","Mammalia","36651","Chordata","33815","46.633057","-25.198610","MG","Toliara","outcrop",46.63,-25.2,"702",0.0117,NA,"3002","32","32",NA,NA,NA,NA,"group of beds","sediments are from ""a large collapsed-cave feature in Pleistocene eolianite (calcareous sandstone)"" (Godfrey et al. 2006), and the lower unit yielding extinct vertebrates is stratigraphically mixed and ""mid-to-late Holocene"" (Burney et al. 2008)","Cheirogaleidae","40781",NA,"Primates","40700",NA,NA
"835213","occurrence","92733","Cheirogaleus medius","species","240281","Cheirogaleus medius","species","240281","Holocene","0.0117",NA,"31261;31261","Cheirogaleus",NA,"medius",NA,"Cheirogaleus","143022","Mammalia","36651","Chordata","33815","46.633057","-25.198610","MG","Toliara","outcrop",46.63,-25.2,"702",0.0117,NA,"3002","32","32",NA,NA,NA,NA,"group of beds","sediments are from ""a large collapsed-cave feature in Pleistocene eolianite (calcareous sandstone)"" (Godfrey et al. 2006), and the lower unit yielding extinct vertebrates is stratigraphically mixed and ""mid-to-late Holocene"" (Burney et al. 2008)","Cheirogaleidae","40781",NA,"Primates","40700",NA,NA
"835214","occurrence","92733","Lemur catta","species","104138","Lemur catta","species","104138","Holocene","0.0117",NA,"31261;31261","Lemur",NA,"catta",NA,"Lemur","72262","Mammalia","36651","Chordata","33815","46.633057","-25.198610","MG","Toliara","outcrop",46.63,-25.2,"702",0.0117,NA,"3002","32","32",NA,NA,NA,NA,"group of beds","sediments are from ""a large collapsed-cave feature in Pleistocene eolianite (calcareous sandstone)"" (Godfrey et al. 2006), and the lower unit yielding extinct vertebrates is stratigraphically mixed and ""mid-to-late Holocene"" (Burney et al. 2008)","Lemuridae","40773",NA,"Primates","40700",NA,NA
"835236","occurrence","92733","Propithecus verreauxi","species","385079","Propithecus verreauxi","species","385079","Holocene","0.0117",NA,"31261;31261","Propithecus",NA,"verreauxi",NA,"Propithecus","143019","Mammalia","36651","Chordata","33815","46.633057","-25.198610","MG","Toliara","outcrop",46.63,-25.2,"702",0.0117,NA,"3002","32","32",NA,NA,NA,NA,"group of beds","sediments are from ""a large collapsed-cave feature in Pleistocene eolianite (calcareous sandstone)"" (Godfrey et al. 2006), and the lower unit yielding extinct vertebrates is stratigraphically mixed and ""mid-to-late Holocene"" (Burney et al. 2008)","Indriidae","40783",NA,"Primates","40700",NA,NA
"835237","occurrence","92733","Archaeolemur majori","species","384430","Archaeolemur majori","species","384430","Holocene","0.0117",NA,"31261;31261","Archaeolemur",NA,"majori",NA,"Archaeolemur","40787","Mammalia","36651","Chordata","33815","46.633057","-25.198610","MG","Toliara","outcrop",46.63,-25.2,"702",0.0117,NA,"3002","32","32",NA,NA,NA,NA,"group of beds","sediments are from ""a large collapsed-cave feature in Pleistocene eolianite (calcareous sandstone)"" (Godfrey et al. 2006), and the lower unit yielding extinct vertebrates is stratigraphically mixed and ""mid-to-late Holocene"" (Burney et al. 2008)","Archaeolemuridae","40786",NA,"Primates","40700",NA,NA
"835238","occurrence","92733","Canis familiaris","species","104153","Canis familiaris","species","104153","Holocene","0.0117",NA,"31261;31261","Canis",NA,"familiaris",NA,"Canis","41198","Mammalia","36651","Chordata","33815","46.633057","-25.198610","MG","Toliara","outcrop",46.63,-25.2,"702",0.0117,NA,"3002","32","32",NA,NA,NA,NA,"group of beds","sediments are from ""a large collapsed-cave feature in Pleistocene eolianite (calcareous sandstone)"" (Godfrey et al. 2006), and the lower unit yielding extinct vertebrates is stratigraphically mixed and ""mid-to-late Holocene"" (Burney et al. 2008)","Canidae","41189",NA,"Carnivora","36905",NA,NA
"835239","occurrence","92733","Bos indicus","species","104267","Bos indicus","species","104267","Holocene","0.0117",NA,"31261;31261","Bos",NA,"indicus",NA,"Bos","42753","Mammalia","36651","Chordata","33815","46.633057","-25.198610","MG","Toliara","outcrop",46.63,-25.2,"702",0.0117,NA,"3002","32","32",NA,NA,NA,NA,"group of beds","sediments are from ""a large collapsed-cave feature in Pleistocene eolianite (calcareous sandstone)"" (Godfrey et al. 2006), and the lower unit yielding extinct vertebrates is stratigraphically mixed and ""mid-to-late Holocene"" (Burney et al. 2008)","Bovidae","42742",NA,"Artiodactyla","87634",NA,NA
"835240","occurrence","92733","Hippopotamus lemerlei","species","83617","Hippopotamus lemerlei","species","83617","Holocene","0.0117",NA,"31261;31261","Hippopotamus",NA,"lemerlei",NA,"Hippopotamus","42481","Mammalia","36651","Chordata","33815","46.633057","-25.198610","MG","Toliara","outcrop",46.63,-25.2,"702",0.0117,NA,"3002","32","32",NA,NA,NA,NA,"group of beds","sediments are from ""a large collapsed-cave feature in Pleistocene eolianite (calcareous sandstone)"" (Godfrey et al. 2006), and the lower unit yielding extinct vertebrates is stratigraphically mixed and ""mid-to-late Holocene"" (Burney et al. 2008)","Hippopotamidae","42479",NA,"Artiodactyla","87634",NA,NA
"835241","occurrence","92733","Eliurus myoxinus","species","104917","Eliurus","genus","104917","Holocene","0.0117",NA,"31261;31261","Eliurus",NA,"myoxinus",NA,"Eliurus","104917","Mammalia","36651","Chordata","33815","46.633057","-25.198610","MG","Toliara","outcrop",46.63,-25.2,"702",0.0117,NA,"3002","32","32",NA,NA,NA,NA,"group of beds","sediments are from ""a large collapsed-cave feature in Pleistocene eolianite (calcareous sandstone)"" (Godfrey et al. 2006), and the lower unit yielding extinct vertebrates is stratigraphically mixed and ""mid-to-late Holocene"" (Burney et al. 2008)","Nesomyidae","104900",NA,"Rodentia","41370",NA,NA
"835242","occurrence","92733","Eliurus sp.","genus","104917","Eliurus","genus","104917","Holocene","0.0117",NA,"31261;31261","Eliurus",NA,"sp.",NA,"Eliurus","104917","Mammalia","36651","Chordata","33815","46.633057","-25.198610","MG","Toliara","outcrop",46.63,-25.2,"702",0.0117,NA,"3002","32","32",NA,NA,NA,NA,"group of beds","sediments are from ""a large collapsed-cave feature in Pleistocene eolianite (calcareous sandstone)"" (Godfrey et al. 2006), and the lower unit yielding extinct vertebrates is stratigraphically mixed and ""mid-to-late Holocene"" (Burney et al. 2008)","Nesomyidae","104900",NA,"Rodentia","41370",NA,NA
"835243","occurrence","92733","Macrotarsomys bastardi","species","158505","Macrotarsomys","genus","158505","Holocene","0.0117",NA,"31261;31261","Macrotarsomys",NA,"bastardi",NA,"Macrotarsomys","158505","Mammalia","36651","Chordata","33815","46.633057","-25.198610","MG","Toliara","outcrop",46.63,-25.2,"702",0.0117,NA,"3002","32","32",NA,NA,NA,NA,"group of beds","sediments are from ""a large collapsed-cave feature in Pleistocene eolianite (calcareous sandstone)"" (Godfrey et al. 2006), and the lower unit yielding extinct vertebrates is stratigraphically mixed and ""mid-to-late Holocene"" (Burney et al. 2008)","Nesomyidae","104900",NA,"Rodentia","41370",NA,NA
"835244","occurrence","92733","Macrotarsomys petteri","species","158505","Macrotarsomys","genus","158505","Holocene","0.0117",NA,"31261;31261","Macrotarsomys",NA,"petteri",NA,"Macrotarsomys","158505","Mammalia","36651","Chordata","33815","46.633057","-25.198610","MG","Toliara","outcrop",46.63,-25.2,"702",0.0117,NA,"3002","32","32",NA,NA,NA,NA,"group of beds","sediments are from ""a large collapsed-cave feature in Pleistocene eolianite (calcareous sandstone)"" (Godfrey et al. 2006), and the lower unit yielding extinct vertebrates is stratigraphically mixed and ""mid-to-late Holocene"" (Burney et al. 2008)","Nesomyidae","104900",NA,"Rodentia","41370",NA,NA
"835245","occurrence","92733","Mus musculus","species","104205","Mus musculus","species","104205","Holocene","0.0117",NA,"31261;31261","Mus",NA,"musculus",NA,"Mus","41911","Mammalia","36651","Chordata","33815","46.633057","-25.198610","MG","Toliara","outcrop",46.63,-25.2,"702",0.0117,NA,"3002","32","32",NA,NA,NA,NA,"group of beds","sediments are from ""a large collapsed-cave feature in Pleistocene eolianite (calcareous sandstone)"" (Godfrey et al. 2006), and the lower unit yielding extinct vertebrates is stratigraphically mixed and ""mid-to-late Holocene"" (Burney et al. 2008)","Muridae","41892",NA,"Rodentia","41370",NA,NA
"835246","occurrence","92733","Rattus sp.","genus","41923","Rattus","genus","41923","Holocene","0.0117",NA,"31261;31261","Rattus",NA,"sp.",NA,"Rattus","41923","Mammalia","36651","Chordata","33815","46.633057","-25.198610","MG","Toliara","outcrop",46.63,-25.2,"702",0.0117,NA,"3002","32","32",NA,NA,NA,NA,"group of beds","sediments are from ""a large collapsed-cave feature in Pleistocene eolianite (calcareous sandstone)"" (Godfrey et al. 2006), and the lower unit yielding extinct vertebrates is stratigraphically mixed and ""mid-to-late Holocene"" (Burney et al. 2008)","Muridae","41892",NA,"Rodentia","41370",NA,NA
"835247","occurrence","92733","Pelomedusa subrufa","species","373846","Pelomedusa subrufa","species","373846","Holocene","0.0117",NA,"31261;31261","Pelomedusa",NA,"subrufa",NA,"Pelomedusa","37598","Reptilia","36322","Chordata","33815","46.633057","-25.198610","MG","Toliara","outcrop",46.63,-25.2,"702",0.0117,NA,"3002","32","32",NA,NA,NA,NA,"group of beds","sediments are from ""a large collapsed-cave feature in Pleistocene eolianite (calcareous sandstone)"" (Godfrey et al. 2006), and the lower unit yielding extinct vertebrates is stratigraphically mixed and ""mid-to-late Holocene"" (Burney et al. 2008)",NA,NA,NA,"Testudines","56475",NA,NA
"835248","occurrence","92733","Dipsochelys sp.",NA,"158506","Aldabrachelys","genus","365356","Holocene","0.0117",NA,"31261;31261","Dipsochelys",NA,"sp.",NA,"Aldabrachelys","132793","Reptilia","36322","Chordata","33815","46.633057","-25.198610","MG","Toliara","outcrop",46.63,-25.2,"702",0.0117,NA,"3002","32","32",NA,NA,NA,NA,"group of beds","sediments are from ""a large collapsed-cave feature in Pleistocene eolianite (calcareous sandstone)"" (Godfrey et al. 2006), and the lower unit yielding extinct vertebrates is stratigraphically mixed and ""mid-to-late Holocene"" (Burney et al. 2008)","Testudinidae","37739",NA,"Testudines","56475",NA,NA
"835249","occurrence","92733","Geochelone radiata","species","376121","Geochelone radiata","species","376121","Holocene","0.0117",NA,"31261;31261","Geochelone",NA,"radiata",NA,"Geochelone","37740","Reptilia","36322","Chordata","33815","46.633057","-25.198610","MG","Toliara","outcrop",46.63,-25.2,"702",0.0117,NA,"3002","32","32",NA,NA,NA,NA,"group of beds","sediments are from ""a large collapsed-cave feature in Pleistocene eolianite (calcareous sandstone)"" (Godfrey et al. 2006), and the lower unit yielding extinct vertebrates is stratigraphically mixed and ""mid-to-late Holocene"" (Burney et al. 2008)","Testudinidae","37739",NA,"Testudines","56475",NA,NA
"835250","occurrence","92733","Furcifer verrucosus cf.","species","158507","Furcifer","genus","158507","Holocene","0.0117",NA,"31261;31261","Furcifer",NA,"verrucosus","cf.","Furcifer","158507","Mammalia","36651","Chordata","33815","46.633057","-25.198610","MG","Toliara","outcrop",46.63,-25.2,"702",0.0117,NA,"3002","32","32",NA,NA,NA,NA,"group of beds","sediments are from ""a large collapsed-cave feature in Pleistocene eolianite (calcareous sandstone)"" (Godfrey et al. 2006), and the lower unit yielding extinct vertebrates is stratigraphically mixed and ""mid-to-late Holocene"" (Burney et al. 2008)","Cervidae","42652",NA,"Artiodactyla","87634",NA,NA
"835260","occurrence","92733","Paroedura sp.","genus","37909","Paroedura","genus","37909","Holocene","0.0117",NA,"31261;31261","Paroedura",NA,"sp.",NA,"Paroedura","37909","Reptilia","36322","Chordata","33815","46.633057","-25.198610","MG","Toliara","outcrop",46.63,-25.2,"702",0.0117,NA,"3002","32","32",NA,NA,NA,NA,"group of beds","sediments are from ""a large collapsed-cave feature in Pleistocene eolianite (calcareous sandstone)"" (Godfrey et al. 2006), and the lower unit yielding extinct vertebrates is stratigraphically mixed and ""mid-to-late Holocene"" (Burney et al. 2008)","Gekkonidae","37899",NA,"Squamata","36379",NA,NA
"835261","occurrence","92733","Zonosaurus trilineatus cf.","species","158508","Zonosaurus","genus","158508","Holocene","0.0117",NA,"31261;31261","Zonosaurus",NA,"trilineatus","cf.","Zonosaurus","158508","Reptilia","36322","Chordata","33815","46.633057","-25.198610","MG","Toliara","outcrop",46.63,-25.2,"702",0.0117,NA,"3002","32","32",NA,NA,NA,NA,"group of beds","sediments are from ""a large collapsed-cave feature in Pleistocene eolianite (calcareous sandstone)"" (Godfrey et al. 2006), and the lower unit yielding extinct vertebrates is stratigraphically mixed and ""mid-to-late Holocene"" (Burney et al. 2008)","Gerrhosauridae","158509",NA,"Squamata","36379",NA,NA
"835262","occurrence","92733","Acrantophis sp.","genus","158510","Acrantophis","genus","158510","Holocene","0.0117",NA,"31261;31261","Acrantophis",NA,"sp.",NA,"Acrantophis","158510","Reptilia","36322","Chordata","33815","46.633057","-25.198610","MG","Toliara","outcrop",46.63,-25.2,"702",0.0117,NA,"3002","32","32",NA,NA,NA,NA,"group of beds","sediments are from ""a large collapsed-cave feature in Pleistocene eolianite (calcareous sandstone)"" (Godfrey et al. 2006), and the lower unit yielding extinct vertebrates is stratigraphically mixed and ""mid-to-late Holocene"" (Burney et al. 2008)","Boidae","38086",NA,"Squamata","36379",NA,NA
"835263","occurrence","92733","Leioheterodon sp.","genus","158511","Leioheterodon","genus","158511","Holocene","0.0117",NA,"31261;31261","Leioheterodon",NA,"sp.",NA,"Leioheterodon","158511","Reptilia","36322","Chordata","33815","46.633057","-25.198610","MG","Toliara","outcrop",46.63,-25.2,"702",0.0117,NA,"3002","32","32",NA,NA,NA,NA,"group of beds","sediments are from ""a large collapsed-cave feature in Pleistocene eolianite (calcareous sandstone)"" (Godfrey et al. 2006), and the lower unit yielding extinct vertebrates is stratigraphically mixed and ""mid-to-late Holocene"" (Burney et al. 2008)","Colubridae","38127",NA,"Squamata","36379",NA,NA
